90,Who wrote about ants in A Tramp Abroad?,Mark Twain
91,Do the ants eat plants, meats
92,What organs gives a bull ant its good sight?,compound eyes
93,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed
94,What may happen to red fire ants if we use boiling water on the queen?,die
95,Are ants found in Antartica?,No
96,Are ants found in Antartica?,
97,Do male ants take flight before females?,Yes
98,Do male ants take flight before females?,
99,Do worker ants have wings?,No
100,Do worker ants have wings?,
101,What are the three segments of an ant?,The head
102,What are the three segments of an ant?,
103,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.
104,What are the ant colonies that lack queens called?,
105,Where are bullet ants located?,Bullet ants are located in Central and South America.
106,Where are bullet ants located?,
107,Do ants belong to the same order as bees?,Yes
108,Do ants belong to the same order as bees?,
109,What is the most common color of ants?,Most ants are red or black.
110,What is the most common color of ants?,
111,Do all ants build nests?,No
112,Do all ants build nests?,
113,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok
114,Do ants thrive in most ecosystems?,Yes.
115,Are several species of ants able to use the Earths magnetic field?,yes
116,Are termites actually more closely related to cockroaches as well as mantids?,Yes
117,Do some caterpillars produce vibrations as well as sounds?,yes
118,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes
119,Is the ant a marsupial?,no
120,Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,Yes
121,Is Antwerp a city?,Yes
122,Is Antwerp a city?,
123,Is Antwerp a municipality?,Yes
124,Is Antwerp a municipality?,
125,Is Antwerp in Belgium?,Yes
126,Is Antwerp in Belgium?,
127,What is Antwerp?,Antwerp is a city and municipality in Belgium.
128,What is Antwerp?,
129,What is the population of the city of Antwerp?,Antwerp's population is 472
130,What is the population of the city of Antwerp?,
131,Where is the city of Antwerp?,Antwerp is in Belgium
132,Where is the city of Antwerp?,
133,Why is Antwerp important to fashion?,Yes
134,Why is Antwerp important to fashion?,
135,Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river
136,Antwerp is to the east of what river?,
137,How many municipalities does Antwerp have?,None
138,How many municipalities does Antwerp have?,
139,Is Arabic a Central Semitic language?,Yes
140,Is Arabic a Central Semitic language?,
141,Was Arabic a major vehicle of culture in Europe?,Yes
142,Was Arabic a major vehicle of culture in Europe?,
143,Is Arabic classified alongside Semitic languages?,Yes
144,Is Arabic classified alongside Semitic languages?,
145,How many people speak the Arabic language?,280 million people.
146,How many people speak the Arabic language?,
147,When was Arabic calligraphy invented?,Many styles were developed after 786.
148,When was Arabic calligraphy invented?,
149,Where is Arabic spoken?,The Middle East and North Africa
150,Where is Arabic spoken?,
151,Why is Arabic related to Islam?,Arabic is the liturgical language of Islam
152,Why is Arabic related to Islam?,
153,Why does Arabic heavily influence European languages?,Arabic was a major vehicle of culture in Europe
154,Why does Arabic heavily influence European languages?,
155,How do you say black in Arabic?,
156,Is Arabic the largest member of the Semitic language family?,yes
157,Is Arabic the largest member of the Semitic language family?,yes
158,Does Modern Standard Arabic continue to evolve like other languages?,yes
159,Does Modern Standard Arabic continue to evolve like other languages?,yes
160,Is Hassaniya Arabic spoken in Mauritania?,yes
161,Is Hassaniya Arabic spoken in Mauritania?,Yes
162,What is the only variety of modern Arabic that has acquired official language status?,maltese
163,What is the only variety of modern Arabic that has acquired official language status?,Maltese
164,Egyptian Arabic is spoken by how many in Egypt?,76 million
165,Egyptian Arabic is spoken by how many in Egypt?,76 million
166,Where are the Western Arabic numerals used?,North Africa
167,Where are the Western Arabic numerals used?,present-day North Africa
168,The most active Academies of Arabic Language are found where?,damascus and cairo
169,Hassan Massoudy is a master of what genre?,Hassan Massoudy
170,Hassan Massoudy is a master of what genre?,Arabic calligraphy
171,Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.
172,Is Berlin the capital city of Germany?,yes
173,Is Berlin the largest city in Germany?,Berlin is Germany's largest city.
174,Is Berlin the largest city in Germany?,yes
175,Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. 
176,Is Schloss Charlottenburg the largest existing palace in Berlin?,yes
177,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. 
178,Which building is the site of the German parliament?,The Reichstag building
179,Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. 
180,Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final
181,Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.
182,Where is the Berliner Dom located?,on the Spree Island
183,Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.
184,Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building
185,Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?
186,Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?
187,What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.
188,What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde
189,Is Berlin the headquarters of Springer?,Yes
190,Is Berlin the headquarters of Springer?,
191,Does the Gendarmenmarkt border the French Cathedral?,Yes
192,Does the Gendarmenmarkt border the French Cathedral?,
193,Is the Nauen plain north of Berlin?,No
194,Is the Nauen plain north of Berlin?,
195,Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.
196,Where is the bust of Queen Nefertiti?,
197,Where does the German President live?,The German President lives west of the center
198,Where does the German President live?,
199,When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.
200,When did Berlin give up its status as a free Hanseatic city?,
201,Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.
202,Which is the busiest airport in Berlin?,
203,How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.
204,How many occupation zones was Germany divided into after the war?,
205,Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.
206,Where was Popkomm held before moving to Berlin?,
207,Who was Blaise Pascal's father?,His father
208,Who was Blaise Pascal's father?,Étienne Pascal.
209,Was Pascal a French mathematician?,yes
210,Was Pascal a French mathematician?,Yes.
211,Did Pascal have poor health throughout his life?,yes
212,Did Pascal have poor health throughout his life?,Yes.
213,How old was Pascal when he lost his mother?,at the age of three
214,How old was Pascal when he lost his mother?,3.
215,Who was Pascal's younger sister?,Jacqueline
216,Who was Pascal's younger sister?,Jacqueline.
217,What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism
218,What led Pascal to his religious conversion?,sickness and Jansenism
219,How old was Pascal when he died?,39
220,How old was Pascal when he died?,1662-08-19.
221,Did Pascal write about cycloid before 1658?,no
222,Is there a programming language called Pascal?,yes
223,Is there a programming language called Pascal?,Yes.
224,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris
225,Wasn't Blaise Pascal a work of Desargues on conic sections?,Yes
226,Who died the next morning?,Pascal.
227,When did his father die?,1651
228,When did his father die?,His father died in 1651.
229,Was he a child prodigy who was educated by his father, a civil servant?
230,Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids
231,Did Pascal also write in defense of the scientific method?,Yes
232,Do butterflies make sounds?,Some butterflies make sounds.
233,Do butterflies make sounds?,
234,Do butterflies have two eyes?,Yes
235,Do butterflies have two eyes?,
236,Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.
237,Does a black moth mean that someone has died?,
238,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.
239,What is the outer layer of the cuticle made of?,
240,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.
241,Where was there a vast swarm of butterflies?,
242,What butterfly is migratory?,The Monarch butterfly is migratory.
243,What butterfly is migratory?,
244,Do butterflies carry more pollen than Hymenoptera?,No
245,Do butterflies carry more pollen than Hymenoptera?,
246,What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.
247,What allows the butterfly to evade predators?,
248,What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.
249,What happens if a wing is removed?,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,Was Charles-Augustin de Coulomb a Spanish Biologist?,No.
260,Was Charles-Augustin de Coulomb a Spanish Biologist?,No
261,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.
262,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes
263,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.
264,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes
265,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
266,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
267,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.
268,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.
269,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.
270,Did Charles-Augustin de Coulomb come from a poor family?,No.
271,Did Charles-Augustin de Coulomb come from a poor family?,No
272,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
273,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
274,What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism
275,What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.
276,Regarding this topic, what did the Revolution do?
277,Who determined to pursue mathematics?,Charles-Augustin de Coulomb
278,When did Coulomb return to Paris?,In 1759.
279,Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes
280,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes
281,Was Coulomb born in Angoulme France to a well-to-do family?,Coulomb was born in Angoulême
282,Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?
283,The SI unit of charge, the coulomb
284,Did Coulomb die in Angoulême, France
285,Are all spoken varieties of Chinese tonal and analytical?,yes
286,Are all spoken varieties of Chinese tonal and analytical?,yes
287,Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes
288,Is fifty percent or more of Korean vocabulary of Chinese origin?,yes
289,Does ketchup come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?,Yes
290,Does ketchup come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?,yes
291,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
292,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
293,What is the official standard language used by the People's Republic of China, the Republic of China
294,What is the official standard language used by the People's Republic of China, the Republic of China
295,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,85
296,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,54
297,What does the PRC government classify as literacy amongst workers?,knowledge of 2
298,What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters
299,How is South China linguistically different from North China?,South China displays more linguistic diversity
300,What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.
301,What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin.
302,Is diglossia a common feature in mainland China and Taiwan?,Yes
303,Is diglossia a common feature in mainland China and Taiwan?,Yes
304,Do linguists often view Chinese as a language family?,Yes
305,Do linguists often view Chinese as a language family?,Yes
306,When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.
307,When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.
308,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.
309,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan
310,When was Middle Chinese used?,Middle Chinese was used during Southern and Northern Dynasties and the Sua
311,When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE.
312,How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.
313,How is the pronunciation of foreign words determined?,Foreign words are transliterated into close-match existing Chinese morphemes.
314,What is the total number of Chinese words?,The Hanyu Da Zidian includes 54
315,What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty.
316,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.
317,Is a cougar also known as a mountain lion?,yes
318,Are cougars larger than jaguars?,Cougars are not larger than jaguars.
319,Are cougars larger than jaguars?,no
320,Does the World Conservation Union consider the cougar a least concern species?,The World Conservation Union (IUCN) currently lists the cougar as a least concern species.
321,Does the World Conservation Union consider the cougar a least concern species?,yes
322,What are some of the cougar's primary food sources?,The cougar's primary food sources include ungulates such as deer
323,What are some of the cougar's primary food sources?,ungulates such as deer
324,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.
325,How long are cougar adult males (from nose to tail)?,2.4 meters
326,How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.
327,How long is an adult cougar's paw print?,4 inches
328,What are the three heaviest cats in the world?,The three heaviest cats in the world are the tiger
329,What are the three heaviest cats in the world?,tiger
330,On average, are cougar males heavier than females?
331,On average, are cougar males heavier than females?
332,What are the three cat species that are native to Canada?,The three cat species that are native to Canada are the cougar
333,What are the three cat species that are native to Canada?,cougar
334,Is one of the parts of a cymbal called a disc?,no
335,Is one of the parts of a cymbal called a disc?,
336,Are ride cymbals very common?,yes
337,Are ride cymbals very common?,
338,Does Fender make cymbals?,no
339,Does Fender make cymbals?,
340,What part of the cymbal is the bell?,The center of a Cymbal
341,What part of the cymbal is the bell?,
342,What's the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica
343,What's the timber of ancient cimbals like? disfluent,
344,What does it sound like to play cymbals with a cello bow?,squealing car brakes
345,What does it sound like to play cymbals with a cello bow?,
346,What are cymbals made of?,brass
347,What are cymbals made of?,
348,How many cymbals typically go in a drum kit?,at least 3
349,How many cymbals typically go in a drum kit?,
350,What kinds of musical groups use cymbals?,Cymbals are used in modern orchestras and many military
351,What kinds of musical groups use cymbals?,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,Are dragonflies capable of walking?,
362,Are dragonflies capable of walking?,
363,Do dragonfly nymphs ever hunt on land?,
364,Do dragonfly nymphs ever hunt on land?,
365,Do dragonflies spend most of their lives in their adult form?,
366,Do dragonflies spend most of their lives in their adult form?,
367,What are dragonfly larvae known as?,
368,What are dragonfly larvae known as?,
369,On what continent have dragonflies often been seen as sinister?,
370,On what continent have dragonflies often been seen as sinister?,
371,In how many directions can the adult dragonfly propel itself?,
372,In how many directions can the adult dragonfly propel itself?,
373,What is the hobby of seeking out dragonflies and damselflies called?,
374,What is the hobby of seeking out dragonflies and damselflies called?,
375,In what country are dragonflies used as a food source?,
376,In what country are dragonflies used as a food source?,
377,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,
378,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,
379,Is the dragonfly associated with late summer as well as early autumn?,Yes
380,Does Exposure to air cause the larva to begin breathing?,Yes (capitalization).
381,Is it characterized by large multifaceted eyes, two pairs of strong transparent wings
382,Is the drum a member of the percussion group?,yes
383,Is the drum a member of the percussion group?,yes
384,Does each type of drum head serve its own musical purpose?,yes
385,Does each type of drum head serve its own musical purpose?,yes
386,Is the Aburukuwa a type of drum?,yes
387,Is the Aburukuwa a type of drum?,yes
388,How long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years
389,How long has the basic design of the drum remained unchanged?,thousands of years
390,What is the second biggest factor affecting the sound produced by a drum?,tension
391,What is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum.
392,By what name are drums classified as under the percussion group?,membranophone
393,By what name are drums classified as under the percussion group?,membranous
394,How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep
395,How do rock and roll drummers like their drumheads?,drums that sound loud and deep
396,Whare is the name for drums that have a set of wires held across some of all of the drum heads?,snares
397,Had the drums been used in Sri Lanka since Before Christ?,yes
398,Had the drums been used in Sri Lanka since Before Christ?,yes
399,Is the drum a member of the percussion group?,yes
400,Is the drum a member of the percussion group?,yes
401,Are drums often used in music therapy?,yes
402,Are drums often used in music therapy?,yes
403,Do drums consist of at least eight membranes?,no
404,Do drums consist of at least eight membranes?,no
405,What has the most effect on how a drum sounds?,the drumhead
406,What has the most effect on how a drum sounds?,the drumhead
407,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio
408,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio
409,Drums are usually played by what?,the hands
410,Drums are usually played by what?,the hands
411,Has the design of drums changed recently?,no
412,Has the design of drums changed recently?,no
413,Can some cylindrical shell drums have no drum heads?,no
414,Can some cylindrical shell drums have no drum heads?,no
415,Does every drumhead make the same sound?,no
416,Does every drumhead make the same sound?,no
417,Aren't drums often used in music therapy?,Yes
418,Aren't drums usually played by the hands?,Yes.
419,Are drums usually played by the hands?,Yes
420,Do many such drums have six to ten tension rods?,Yes.
421,Do drums consist of at least one membrane, called a drumhead or drum skin
422,Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?
423,Is the electric eel a true eel?,No
424,Is the electric eel a true eel?,No
425,Are most eels predators?,Yes
426,Are most eels predators?,Yes
427,Is eel blood toxic to humans?,Yes
428,Is eel blood toxic to humans?,Yes
429,How many species of true eels are there?,approximately 800 species
430,How many species of true eels are there?,There are approximately 800 species of true eels.
431,Where is smoked eel considered a delicacy?,Northern Germany
432,Where is smoked eel considered a delicacy?,Smoked eel is considered a delicacy in northern Germany
433,How do eels begin life?,As flat and transparent larvae
434,How do eels begin life?,Eels begin life as flat and transparent larvae
435,What types of fins do eels have?,Dorsal
436,What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.
437,What do leptocephali eat?,Marine snow
438,What do leptocephali eat?,Leptocephali eat small particles called marine snow.
439,Do all eels live in fresh water?,No
440,Do all eels live in fresh water?,No
441,Is Finnish an official language of the European Union?,Yes
442,Is Finnish an official language of the European Union?,Yes
443,Are the dialects of Finnish divided into two groups?,Yes
444,Are the dialects of Finnish divided into two groups?,Yes
445,Is Finnish threatened by English?,No
446,Is Finnish threatened by English?,No
447,When did Proto-Uralic language arrive in Finland?,Around 1900 BCE
448,When did Proto-Uralic language arrive in Finland?,Proto-Uralic language arrived in Finland around 1900 BCE.
449,What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology
450,What are characteristic features of Finnish?,Characteristic features of Finnish are vowel harmony and an agglutinative morphology.
451,Where is the Kven language spoken?,Norway
452,Where is the Kven language spoken?,The Kven language is spoken in Northern Norway.
453,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917
454,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917.
455,Who wrote the first novel in Finnish?,Aleksis Kivi
456,Who wrote the first novel in Finnish?,The first novel in Finnish was published by Aleksis Kivi.
457,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish
458,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish defined the official Finnish language.
459,What is the earliest extant transverse flute?,it dates from 433 BC
460,What is the earliest extant transverse flute?,Chi
461,When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole
462,When does a flute produce sound?,When a stream of air directed across a hole in the instrument creats a vibration of air at the hole.
463,How can a flute's volume be increased?,a flute's volume can generally be increased by making its resonator and tone holes larger
464,How can a flute's volume be increased?,A flute's volume can be increased by making its resonator and tone holes larger.
465,Do open-ended flutes have brighter timbres?,yes
466,Do open-ended flutes have brighter timbres?,Yes.
467,Where was the oldest flute ever discovered found?,Germany
468,Where was the oldest flute ever discovered found?,Various parts of Germany.
469,Are Western flutes simpler than Indian flutes?,no
470,Are Western flutes simpler than Indian flutes?,Yes.
471,Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger
472,Why is a police whistle very wide for its pitch?,It's volume is high either because of its larger resonator or larger tone holes.
473,What are the two main varieties of Indian flutes?,The first
474,What are the two main varieties of Indian flutes?,Bansuri and the Venu or Pullanguzhal.
475,Has the flute been dated to prehistoric times?,yes
476,Has the flute been dated to prehistoric times?,Yes
477,Was the pan flute used in Greece?,yes
478,Was the pan flute used in Greece?,Yes
479,Can a flute be played with several different air sources?,yes
480,Can a flute be played with several different air sources?,Yes
481,When was the pan flute used in Greece?,the 7th century BC
482,When was the pan flute used in Greece?,7th century BC
483,When did concert flutes begin appearing in concert ensembles?,the 16th-century
484,When did concert flutes begin appearing in concert ensembles?,
485,How many main varieties of Indian flutes are currently used?,two
486,How many main varieties of Indian flutes are currently used?,Two
487,What material is a chi flute fashioned from?,lacquered bamboo
488,What material is a chi flute fashioned from?,Lacquered bamboo
489,How does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument
490,How does a flute player change the pitch of the sound?,Opening and closing holes in the body of the instrument
491,What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle
492,What is the most basic form of the flute?,Open tube which is blown like a bottle
493,Has the dragon historically served as China's national emblem?,yes
494,Has the dragon historically served as China's national emblem?,Yes
495,Do pandas hibernate?,no
496,Do pandas hibernate?,No
497,Do giant pandas attack humans?,yes
498,Do giant pandas attack humans?,Yes
499,What family is the panda a part of?,Ursidae (bear)
500,What family is the panda a part of?,Ursidae
501,How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth
502,How long does it take for the panda cubs skin to turn gray?,One to two weeks
503,How many different names did Chinese writings give to the panda?,20
504,How many different names did Chinese writings give to the panda?,20
505,What foods do pandas eat?,bamboo
506,What foods do pandas eat?,bamboo
507,What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis 
